hue,saturation,value,skin_tone
27.5423,87.1184,107.7588,dark
22.0987,152.9859,108.9693,dark
20.6102,86.6947,122.8125,dark
16.9373,98.5802,163.571,dark
26.013,131.7551,107.9733,dark
35.857,100.8716,172.7323,dark
25.8541,107.5075,98.0185,dark
16.6411,148.4582,151.922,dark
39.9738,86.25,122.7281,dark
18.5528,97.1681,129.0907,dark
78.1329,102.8794,111.2345,dark
20.8498,113.7314,164.097,dark
97.2813,56.5223,99.6588,dark
20.6725,173.8677,121.9023,dark
28.6861,118.1358,130.3521,dark
14.4386,93.9155,102.9373,dark
143.6045,100.4118,74.0158,dark
27.9846,112.7277,69.2399,dark
75.7117,43.4827,70.3379,dark
22.784,110.4491,122.6454,dark
26.3964,99.2643,133.6055,dark
26.324,120.8344,134.9039,dark
17.075,95.8463,126.7079,dark
21.0162,107.7829,106.539,dark
62.1569,120.4805,132.3642,dark
12.1024,123.971,99.4059,dark
16.8685,131.7735,151.2699,dark
27.1339,120.6088,148.6974,dark
32.2388,130.9192,121.4416,dark
25.9997,133.4685,136.0022,dark
14.0509,139.6397,89.0092,dark
16.6756,100.4894,111.1889,dark
24.8496,66.0434,110.2562,dark
13.5404,116.4213,178.4537,dark
11.533,128.0563,160.6569,dark
13.1149,141.3027,116.075,dark
24.0008,66.0986,150.9063,dark
24.0905,102.6883,148.5515,dark
24.4327,108.7621,191.2983,dark
12.9668,135.4095,179.1153,dark
19.2888,107.812,186.5359,dark
23.8639,113.6259,188.5051,dark
15.1264,130.7052,154.2119,dark
36.835,126.267,171.105,dark
36.7588,105.8079,179.2164,dark
17.5284,116.6948,194.7551,dark
10.3057,168.3462,144.2679,dark
17.179,136.9886,169.174,dark
24.976,116.7831,123.7967,dark
89.122,112.4232,100.093,dark
13.7613,127.1413,128.9738,dark
23.7749,109.2632,170.2975,dark
22.7585,140.9867,156.7157,dark
34.1825,103.3572,205.8428,dark
24.9645,110.1229,132.8534,dark
20.4232,89.378,164.7742,dark
15.6524,124.8623,156.0994,dark
23.3742,129.1113,99.8475,dark
16.2719,96.031,191.8022,dark
20.3587,90.285,152.4903,dark
16.7623,185.133,137.954,dark
15.1142,86.5908,99.4999,dark
41.5504,96.2231,116.2714,dark
15.6757,112.4542,126.7596,dark
11.0302,111.7493,153.3452,dark
25.1417,148.189,107.5979,dark
12.6328,104.7315,91.016,dark
26.626,108.4734,121.9058,dark
11.7672,124.8418,159.724,dark
58.6035,108.8799,87.1565,dark
19.583,71.4195,146.3921,dark
18.2591,114.5012,129.1596,dark
27.6918,95.1637,134.3785,dark
9.0142,163.0295,77.376,dark
14.9591,120.7783,86.7026,dark
28.069,86.1696,117.5956,dark
30.5586,142.2567,110.773,dark
29.9256,127.9996,78.9786,dark
100.5018,119.2808,67.829,dark
125.1167,100.2571,104.9782,dark
34.479,65.6795,76.2346,dark
25.6859,100.9847,153.5397,dark
55.9335,115.891,84.5807,dark
14.0266,127.6216,128.8732,dark
33.9238,152.816,69.0471,dark
23.6836,118.2912,109.9581,dark
11.0546,127.3687,165.9832,dark
31.7806,87.9489,159.4959,dark
76.5615,80.6925,136.8569,dark
24.4829,90.4262,175.5064,dark
18.924,131.5976,163.0161,dark
27.6514,140.6796,173.4412,dark
14.4014,146.6074,170.2971,dark
22.3904,117.0589,143.1853,dark
21.9664,133.8933,68.9265,dark
16.8066,143.0327,129.1904,dark
14.3602,117.5964,154.8824,dark
13.9842,169.9589,156.1889,dark
24.9002,119.9647,126.4087,dark
13.2006,142.542,146.8111,dark
50.3917,84.4559,124.4481,dark
15.3774,132.9039,144.5613,dark
14.5361,165.7851,168.1247,dark
22.1815,116.4884,129.0777,dark
20.8631,135.7802,154.2308,dark
11.9625,102.9991,129.0203,dark
10.4615,163.8308,119.3092,dark
14.4774,106.3918,145.2686,dark
15.5723,108.4107,116.3275,dark
18.6505,116.0204,80.3864,dark
33.2452,92.626,119.9998,dark
22.1877,107.0525,114.2302,dark
25.2826,111.816,86.0936,dark
18.4359,58.7578,132.5281,dark
10.8137,115.9569,156.5925,dark
15.7554,98.5744,151.1866,dark
29.3144,80.5227,111.4495,dark
12.1934,137.6869,132.9448,dark
97.6239,55.3844,110.877,dark
115.1773,65.1686,114.4515,dark
13.1304,142.048,164.3331,dark
131.5563,63.2807,88.8627,dark
31.0456,81.6065,132.61,dark
16.6805,102.0003,133.3475,dark
75.683,106.9041,71.4638,dark
26.091,76.4214,106.621,dark
23.2202,132.5491,99.8899,dark
15.6047,142.0244,147.4124,dark
19.8139,122.1464,142.8146,dark
38.5871,129.7903,132.0547,dark
30.0883,123.0462,132.585,dark
51.4527,121.4845,117.7532,dark
30.5978,77.0089,108.7328,dark
24.9059,119.0281,128.0005,dark
26.9413,170.8943,87.528,dark
46.4237,98.3669,125.7926,dark
17.1652,177.6286,127.4251,dark
13.0873,102.7598,136.267,dark
32.5666,128.2345,92.1769,dark
44.5664,102.3394,130.8608,dark
16.3771,118.7865,186.0912,dark
20.3914,129.4226,120.4227,dark
55.7894,114.9126,159.6805,dark
27.3742,94.3737,113.6116,dark
14.7487,165.2709,141.8047,dark
16.1019,86.7778,121.7436,dark
13.1279,84.1186,199.9644,fair
37.2032,60.6761,192.0415,fair
15.8972,74.9832,188.5756,fair
16.8714,86.8726,188.0301,fair
28.372,57.1846,198.6452,fair
19.778,40.3967,222.6613,fair
24.3009,88.5541,172.3183,fair
10.5369,142.2102,151.5368,fair
28.6418,97.7008,125.3458,fair
16.7696,122.4366,173.353,fair
39.5026,88.3009,146.2868,fair
26.8868,62.2358,198.6492,fair
12.6034,72.7751,220.9455,fair
21.3332,73.8433,221.9163,fair
23.0796,60.1055,123.6857,fair
10.2651,94.3131,146.9162,fair
12.973,105.5394,132.8052,fair
20.1184,76.3761,171.4547,fair
15.5246,129.3374,160.7351,fair
25.5823,66.93,158.2459,fair
54.7581,104.0333,143.6509,fair
24.3244,69.5862,138.8922,fair
26.3898,102.7855,117.5433,fair
26.3302,81.0107,155.7235,fair
20.4032,90.4511,165.3223,fair
64.6398,86.5417,177.9169,fair
17.8491,109.6593,101.0333,fair
10.8607,97.1045,166.5703,fair
11.9783,84.1218,114.0575,fair
11.7573,118.2134,166.6838,fair
64.7244,56.9185,126.6671,fair
35.2065,50.3328,191.6651,fair
23.6728,53.2033,124.6904,fair
40.8554,38.1209,167.8317,fair
27.2582,76.2069,180.9341,fair
36.7699,76.762,197.481,fair
22.0662,39.4944,197.6648,fair
22.9907,53.5899,202.0303,fair
26.6213,69.0887,163.5723,fair
22.588,76.0991,194.4747,fair
11.1038,124.7611,217.4704,fair
11.0316,88.2172,181.1802,fair
11.1183,104.2917,222.8843,fair
28.4972,87.1995,221.3805,fair
14.6629,114.1836,188.4436,fair
29.9373,108.7693,182.7052,fair
17.4005,99.4689,187.5547,fair
9.7671,72.3916,224.9493,fair
60.5761,98.0266,154.4345,fair
45.7201,86.647,228.1503,fair
13.5386,67.9611,192.7496,fair
13.173,58.7708,227.0219,fair
13.3185,87.991,180.3753,fair
16.4047,63.0417,221.3553,fair
12.4673,71.822,208.4925,fair
26.1907,77.2908,172.215,fair
12.1755,58.891,221.3699,fair
31.5698,29.0901,214.9072,fair
12.2361,60.2274,219.069,fair
16.0322,76.5032,193.2284,fair
24.7134,51.1027,178.9771,fair
13.9455,64.7557,211.8532,fair
16.4539,49.0996,219.4786,fair
21.7784,57.2263,222.2353,fair
9.601,81.6472,204.2707,fair
11.2738,77.1433,220.1151,fair
31.8278,29.1078,214.9702,fair
14.1575,57.7921,228.7424,fair
145.4863,43.7244,221.0599,fair
24.9944,67.6125,212.7637,fair
14.0226,72.7954,216.9586,fair
25.9609,58.2222,186.9052,fair
41.9157,43.3046,197.0161,fair
31.7547,64.5984,212.5722,fair
23.9185,51.1779,178.0506,fair
13.2302,121.1581,185.1944,fair
12.8613,97.6189,218.7829,fair
24.2427,60.3574,190.1846,fair
27.8934,55.0036,213.1572,fair
38.8749,60.531,185.4003,fair
23.5392,79.1786,226.0903,fair
17.4261,70.1806,196.7845,fair
10.6876,74.9862,196.1645,fair
15.2023,78.4931,188.5378,fair
23.825,85.7014,184.6295,fair
62.9504,32.6364,132.573,fair
17.6234,81.515,224.4074,fair
94.5601,66.2764,196.8673,fair
13.2093,72.73,201.871,fair
33.9324,61.6367,199.8275,fair
27.8413,43.3061,197.4257,fair
88.7582,61.7831,168.8958,fair
18.2598,62.3543,215.8223,fair
23.5916,75.2319,206.3058,fair
14.0058,87.3756,189.0583,fair
14.4395,138.2838,204.3021,fair
23.6465,113.1036,170.7786,fair
17.7452,41.5956,215.714,fair
17.2515,98.6348,201.0369,fair
9.6081,78.0768,199.1296,fair
10.704,83.0807,183.7694,fair
19.393,87.2849,203.9911,fair
16.5575,116.0777,240.0642,fair
11.1303,71.5061,214.9906,fair
63.3967,25.5523,226.7802,fair
21.2134,98.5972,186.951,fair
42.8049,112.2572,173.893,fair
15.8792,141.9349,239.8773,fair
39.6801,84.2212,180.7223,fair
12.4222,81.1436,202.8357,fair
26.9879,86.0775,172.8642,fair
14.8643,65.759,202.7372,fair
31.7293,105.3952,187.4741,fair
28.8189,97.782,196.9793,fair
20.4374,58.7767,217.3227,fair
10.6211,116.7197,168.4074,fair
21.4898,105.2734,196.1536,fair
12.3457,110.552,198.5855,fair
12.2455,67.4867,237.7695,fair
23.9917,67.7849,203.2077,fair
10.9932,95.1013,180.4374,fair
59.4924,53.6713,146.4978,fair
11.767,90.8405,217.1532,fair
12.4657,71.4639,200.9583,fair
21.8281,24.0257,213.3612,fair
19.285,57.5165,194.6288,fair
14.9229,129.5661,212.637,fair
14.0137,86.3465,204.5553,fair
12.0829,78.6532,216.4634,fair
11.6781,78.4635,208.8759,fair
21.9304,49.4335,213.5038,fair
34.5375,46.1161,205.2442,fair
14.9711,35.1295,196.9132,fair
37.0262,79.6485,200.4404,fair
26.5964,120.5097,136.179,fair
29.119,59.9388,201.228,fair
18.367,90.9261,207.0214,fair
26.0042,76.2235,186.5941,fair
18.5288,90.8268,208.4684,fair
22.6921,61.3082,206.8577,fair
17.1623,69.1241,163.9652,fair
13.0268,73.2817,197.328,fair
17.4923,57.1096,184.8359,fair
15.7472,46.0004,220.5171,fair
38.3481,57.8643,168.4808,fair
21.261,55.7718,184.662,fair
